order_id,customer_id,product_id,store_id,order_date,quantity,unit_price,payment_method,region
ORD_2_1,1275,157,12,2026-01-02,7,309.73,Net Banking,South
ORD_2_2,7174,333,12,2026-01-02,3,277.77,Cash,West
ORD_2_3,9341,330,12,2026-01-02,3,94.27,Debit Card,South
ORD_2_4,2580,925,4,2026-01-02,5,324.76,Debit Card,South
ORD_2_5,6435,182,8,2026-01-02,9,248.17,UPI,South
ORD_2_6,9640,154,20,2026-01-02,10,407.68,Net Banking,North
ORD_2_7,4659,561,10,2026-01-02,3,181.51,Credit Card,South
ORD_2_8,4703,980,15,2026-01-02,8,422.14,Cash,North
ORD_2_9,2678,902,8,2026-01-02,8,279.13,Cash,East
ORD_2_10,4270,813,19,2026-01-02,9,388.41,UPI,North
ORD_2_11,6743,192,14,2026-01-02,3,419.45,Cash,West
ORD_2_12,9143,168,7,2026-01-02,2,61.73,Debit Card,West
ORD_2_13,1166,960,5,2026-01-02,3,20.04,Cash,East
ORD_2_14,3074,811,1,2026-01-02,5,208.96,Credit Card,South
ORD_2_15,2994,977,6,2026-01-02,8,280.39,Debit Card,West
ORD_2_16,7796,229,15,2026-01-02,8,129.26,Cash,South
ORD_2_17,9702,761,19,2026-01-02,3,243.13,Net Banking,North
ORD_2_18,7746,398,7,2026-01-02,8,167.83,Credit Card,South
ORD_2_19,7559,725,3,2026-01-02,3,359.51,UPI,East
ORD_2_20,4331,483,17,2026-01-02,9,299.37,Debit Card,West
ORD_2_21,5769,571,16,2026-01-02,9,235.89,Cash,West
ORD_2_22,1531,900,15,2026-01-02,5,116.52,Net Banking,East
ORD_2_23,3467,832,19,2026-01-02,9,47.24,Credit Card,South
ORD_2_24,8144,522,3,2026-01-02,7,308.55,Debit Card,South
ORD_2_25,3305,952,2,2026-01-02,3,86.21,Cash,East
ORD_2_26,2916,924,19,2026-01-02,3,13.6,Credit Card,West
ORD_2_27,5862,708,10,2026-01-02,9,36.92,Cash,West
ORD_2_28,7352,642,14,2026-01-02,4,463.3,Credit Card,East
ORD_2_29,4929,301,17,2026-01-02,6,314.19,Cash,South
ORD_2_30,6289,372,16,2026-01-02,2,100.6,Credit Card,East
ORD_2_31,2833,180,12,2026-01-02,2,215.16,Cash,East
ORD_2_32,2837,953,6,2026-01-02,8,335.58,UPI,East
ORD_2_33,3092,328,9,2026-01-02,4,324.5,Credit Card,South
ORD_2_34,8553,357,4,2026-01-02,5,16.09,UPI,East
ORD_2_35,5114,292,5,2026-01-02,8,49.28,Net Banking,North
ORD_2_36,8671,771,5,2026-01-02,2,90.99,UPI,North
ORD_2_37,1042,142,19,2026-01-02,6,47.16,Credit Card,West
ORD_2_38,6285,555,13,2026-01-02,1,448.33,Credit Card,North
ORD_2_39,5107,941,10,2026-01-02,3,340.86,Debit Card,East
ORD_2_40,7867,940,9,2026-01-02,8,47.02,UPI,West
ORD_2_41,8953,204,17,2026-01-02,2,40.65,Net Banking,West
ORD_2_42,8380,415,12,2026-01-02,7,305.4,Debit Card,East
ORD_2_43,4735,221,4,2026-01-02,4,448.59,Net Banking,East
ORD_2_44,6580,520,12,2026-01-02,6,13.38,Net Banking,West
ORD_2_45,5721,742,17,2026-01-02,4,35.84,UPI,North
ORD_2_46,5126,807,1,2026-01-02,7,371.92,Net Banking,East
ORD_2_47,3894,404,7,2026-01-02,1,293.06,Credit Card,North
ORD_2_48,4182,279,13,2026-01-02,3,283.62,Net Banking,South
ORD_2_49,9020,741,16,2026-01-02,4,464.92,Net Banking,North
ORD_2_50,5285,124,11,2026-01-02,4,216.87,Net Banking,North
ORD_2_51,8267,525,9,2026-01-02,7,30.17,Debit Card,North
ORD_2_52,1204,326,7,2026-01-02,8,358.99,Debit Card,North
ORD_2_53,1410,811,2,2026-01-02,2,98.31,Cash,South
ORD_2_54,9721,376,16,2026-01-02,9,478.29,Debit Card,North
ORD_2_55,7330,189,1,2026-01-02,10,488.18,Credit Card,North
